Country,Word,English_word
United Kingdom,cow,cow
France,vache,cow
Spain,vaca,cow
Romania,vaca,cow
Serbia,krava,cow
Albania,lope,cow
Finland,lehma,cow
United Kingdom,mother,mother
France,mere,mother
Spain,madre,mother
Romania,mama,mother
Serbia,majka,mother
Albania,nena,mother
Finland,aiti,mother
United Kingdom,beer,beer
France,biere,beer
Spain,cerveza,beer
Romania,bere,beer
Serbia,pivo,beer
Albania,birre,beer
Finland,olut,beer
Netherlands,moeder,mother
Netherlands,bier,beer
Netherlands,koe
Hungary,tehen,cow
Hungary,anya,mother
Hungary,sor,beer
Turkey,bira,beer
Turkey,anne,mother
Turkey,inek,cow
Poland,krowa,cow
Poland,matka,mother
Poland,piwo,beer
United Kingdom,book,book
France,livre,book
Spain,libro,book
Poland,ksiazka,book
Romania,carte,book
Netherlands,boek,book
Turkey,kitap,book
Serbia,knjiga,book
Hungary,konyv,book
Finland,kirja,book
