Country,Word,English_word
Albania,une,I
Albania,nje,one
Albania,e madhe,big
Albania,i vogel,small
Albania,grua,woman
Albania,njeri,man
Armenia,yes,I
Armenia,meky,one
Armenia,mets,big
Armenia,p'vok'r,small
Armenia,kin,woman
Armenia,mard,man
Austria,NA,I
Austria,NA,one
Austria,NA,big
Austria,NA,small
Austria,NA,woman
Austria,NA,man
Azerbaijan,men,I
Azerbaijan,bir,one
Azerbaijan,boyuk,big
Azerbaijan,kicik,small
Azerbaijan,qadin,woman
Azerbaijan,adam,man
Belarus,ja,I
Belarus,adzin,one
Belarus,vialiki,big
Belarus,malienki,small
Belarus,zancyna,woman
Belarus,calaviek,man
Bosnia and Herz.,ja,I
Bosnia and Herz.,jedan,one
Bosnia and Herz.,veliki,big
Bosnia and Herz.,mali,small
Bosnia and Herz.,zena,woman
Bosnia and Herz.,covjece,man
Bulgaria,az,I
Bulgaria,edin,one
Bulgaria,golyam,big
Bulgaria,maluk,small
Bulgaria,zhena,woman
Bulgaria,chovek,man
Croatia,ja,I
Croatia,jedan,one
Croatia,velik,big
Croatia,mali,small
Croatia,zena,woman
Croatia,covjek,man
Cyprus,NA,I
Cyprus,NA,one
Cyprus,NA,big
Cyprus,NA,small
Cyprus,NA,woman
Cyprus,NA,man
Czech Rep.,ja,I
Czech Rep.,jeden,one
Czech Rep.,velky,big
Czech Rep.,maly,small
Czech Rep.,zena,woman
Czech Rep.,muz,man
Denmark,je,I
Denmark,en,one
Denmark,stor,big
Denmark,lille,small
Denmark,kvinde,woman
Denmark,mand,man
Estonia,mina,I
Estonia,uks,one
Estonia,suur,big
Estonia,vaike,small
Estonia,naine,woman
Estonia,mees,man
Finland,mina,I
Finland,yksi,one
Finland,iso,big
Finland,pieni,small
Finland,naine,woman
Finland,mies,man
France,je,I
France,un,one
France,grand,big
France,petit,small
France,femme,woman
France,homme,man
Georgia,me,I
Georgia,erti,one
Georgia,didi,big
Georgia,p'at'ara,small
Georgia,kali,woman
Georgia,k'atsi,man
Germany,ich,I
Germany,eriner,one
Germany,gross,big
Germany,klein,small
Germany,Frau,woman
Germany,Mann,man
Greece,ego,I
Greece,enas,one
Greece,megalo,big
Greece,mikro,small
Greece,gynaika,woman
Greece,andras,man
Hungary,en,I
Hungary,egy,one
Hungary,nagy,big
Hungary,kicsi,small
Hungary,no,woman
Hungary,ferfi,man
Iceland,eg,I
Iceland,einn,one
Iceland,stor,big
Iceland,litill,small
Iceland,kona,woman
Iceland,madur,man
Ireland,I.,I
Ireland,ceann,one
Ireland,mor,big
Ireland,beag,small
Ireland,bean,woman
Ireland,fear,man
Italy,io,I
Italy,uno,one
Italy,grande,big
Italy,piccolo,small
Italy,donna,woman
Italy,uomo,man
Kosovo,NA,I
Kosovo,NA,one
Kosovo,NA,big
Kosovo,NA,small
Kosovo,NA,woman
Kosovo,NA,man
Latvia,es,I
Latvia,viens,one
Latvia,liels,big
Latvia,mazs,small
Latvia,sieviete,woman
Latvia,cilveks,man
Lithuania,as,I
Lithuania,vienas,one
Lithuania,didelis,big
Lithuania,mazas,small
Lithuania,moteris,woman
Lithuania,vyras,man
Luxembourg,ech,I
Luxembourg,eent,one
Luxembourg,grouss,big
Luxembourg,kleng,small
Luxembourg,frau,woman
Luxembourg,mann,man
Macedonia,jas,I
Macedonia,eden,one
Macedonia,golemo,big
Macedonia,mala,small
Macedonia,zena,woman
Macedonia,covek,man
Malta,jien,I
Malta,wahda,one
Malta,kbir,big
Malta,zghir,small
Malta,mara,woman
Malta,ragel,man
Moldova,NA,I
Moldova,NA,one
Moldova,NA,big
Moldova,NA,small
Moldova,NA,woman
Moldova,NA,man
Montenegro,NA,I
Montenegro,NA,one
Montenegro,NA,big
Montenegro,NA,small
Montenegro,NA,woman
Montenegro,NA,man
Netherlands,I,I
Netherlands,eent,one
Netherlands,groot,big
Netherlands,klein,small
Netherlands,vrouw,woman
Netherlands,mens,man
Norway,jeg,I
Norway,en,one
Norway,stor,big
Norway,liten,small
Norway,kvinne,woman
Norway,mann,man
Poland,i,I
Poland,jeden,one
Poland,duza,big
Poland,maly,small
Poland,kobieta,woman
Poland,facet,man
Portugal,eu,I
Portugal,um,one
Portugal,grande,big
Portugal,pequena,small
Portugal,mulher,woman
Portugal,cara,man
Romania,eu,I
Romania,unu,one
